"track_id","track_album_id","track_album_name","track_album_release_date"
"6f807x0ima9a1j3VPbc7VN","2oCs0DGTsRO98Gh5ZSl2Cx","I Don't Care (with Justin Bieber) [Loud Luxury Remix]","2019-06-14"
"0r7CVbZTWZgbTCYdfa2P31","63rPSO264uRjW1X5E6cWv6","Memories (Dillon Francis Remix)","2019-12-13"
"1z1Hg7Vb0AhHDiEmnDE79l","1HoSmj2eLcsrR0vE9gThr4","All the Time (Don Diablo Remix)","2019-07-05"
"75FpbthrwQmzHlBJLuGdC7","1nqYsOef1yKKuGOVchbsk6","Call You Mine - The Remixes","2019-07-19"
"1e8PAfcKUYoKkxPhrHqw4x","7m7vv9wlQ4i0LFuJiE2zsQ","Someone You Loved (Future Humans Remix)","2019-03-05"
"7fvUMiyapMsRRxr07cU8Ef","2yiy9cd2QktrNvWC2EUi0k","Beautiful People (feat. Khalid) [Jack Wins Remix]","2019-07-11"
"2OAylPUDDfwRGfe0lYqlCQ","7INHYSeusaFlyrHSNxm8qH","Never Really Over (R3HAB Remix)","2019-07-26"
"6b1RNvAcJjQH73eZO4BLAB","6703SRPsLkS4bPtMFFJes1","Post Malone (feat. RANI) [GATTÜSO Remix]","2019-08-29"
"7bF6tCO3gFb8INrEDcjNT5","7CvAfGvq4RlIwEbT9o8Iav","Tough Love (Tiësto Remix)","2019-06-14"
"1IXGILkPm0tOCNeq00kCPa","4QxzbfSsVryEQwvPFEV5Iu","If I Can't Have You (Gryffin Remix)","2019-06-20"
"3eFJI470ALf1EYjywPRsJy","49bXZtlI5kQSqQMSCnSaWO","Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix]","2019-06-21"
"3iJeF2izF1QcpCgUc97BLl","6e6RVFWdZaoTiLAZOCMnps","Hate Me (R3HAB Remix)","2019-08-16"
"6e0CvGZf7CouOpYF8toXHC","2R66I0nzp3NnuUlzIGWQ5P","Body On My","2019-03-29"
"3eLdNmnRWr9gIyBcqTSSti","7Al4TIo0c5twNLfdOh1y1u","SOS (Laidback Luke Tribute Remix)","2019-05-17"
"55nMnifaQWKe3f9cbwOXwx","2vx3BtBMn8Ed3ygEg1OT2t","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes]","2019-07-12"
"1EJgymgJHcjSOGSHcYaxvW","1imXAvLuowvPYIsFMYUPY0","South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix]","2019-12-11"
"5WaXMQMlQpq8pwIdaFP43L","4lXBBbiEgwTzcfAkqdXJV1","All My Friends (Eden Prince Remix)","2019-05-03"
"3TjLsDgL0bTbSQIF6M5Ki8","19z3vpbBT09lZ54neDfuFL","Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix]","2018-12-28"
"0GfS3y8Jd7SHWd9R51s7Fo","2LDzwN4iZ4qbSA32E9CG4Q","Dancing With A Stranger (With Normani) [Cheat Codes Remix]","2019-03-08"
"2v3DuCVBbopteJqdM7aKQK","097kyycr5ZuLS2cPwwUHwt","Let It Be Me (Remixes)","2019-10-18"
"4QAUGy6k7c3IOAhgWz52r7","37bCTD5iLWMpDcBanNkkXB","Heaven (David Guetta & MORTEN Remix)","2019-08-23"
"3Ciaf6WgvG95TGRGxQ1yO8","5r998zJ0MNYb2TTxyQmjxT","All Around The World (La La La) [Marnik Remix]","2019-08-23"
"1mC2UjWt25Oixtqu7C6suL","1WhPuMFm5VaTJqe9rl3C5Q","Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix]","2019-05-08"
"2wenGTypSYHXl1sN1pNC7X","6Ol6C42O7AWnTkj8pHMHWv","Slow Dance (feat. Ava Max) [Sam Feldt Remix]","2019-10-25"
"4sqABRRGU7CzcHXCyxUzFw","5vf16sRhXB2f3sS5kteU2T","Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow)","2019-05-24"
"5dy3WUywjZcalTno1io8TQ","1LTVUVJQ9wNArrbm02ZOVL","Hold Me While You Wait (Steve Void Remix)","2019-06-21"
"2M9GeaCQXrV12J0wzBxIwi","13pvchQvJxxpvvtsasA4NG","One Thing Right (Remixes)","2019-08-09"
"1zzOMDmkRZy0g9f4JTAZKn","5bMicFMWsZlRZNTDq9h3oA","Close To Me (Remixes)","2019-02-01"
"4OFFY6L5ywYM1TwhXX69wQ","4pl2838fY2YPaqiT2yWuMo","So Am I (Toby Green Remix)","2019-05-23"
"1hr5Y2i4NlE3LPvQZ9Q5Ao","6MhbDWEsAP9Xsgoj0TuEOc","When You Leave (Breathe Carolina Remix)","2019-04-19"
"1aT7vltGhkjyMI3F3aO3A4","2Ryw2kkGP0VecGM9b4kjgo","Mother (Fedde Le Grand Remix)","2019-11-01"
"4YaU1EjXIkdRdkOI4cCZys","249wM0bMES3O4nFuwARq9i","Signs (Eden Prince Remix)","2018-11-30"
"0Fc9QSMX6fgEBgDjUax7t7","6rWRg6yLGcLdG0IRaCB9LN","Ruin My Life (Remixes)","2018-11-23"
"7AasLZ4TYgh7dbJXZxcZVE","6gKLNSKPll9DAG5xiygMxD","Torn (KREAM Remix)","2019-09-05"
"7p4jpmyBnOpqQ3rSGJzZ7w","4H87kr1cjR2CSUkTFopYEK","Quite Miss Home (Steve Void Remix)","2019-11-22"
"4sLtguRBis05qfsBgJ1IdN","3E3l9Ae226bVoSwoPNuwWv","Love Me Less (Remixes)","2019-06-21"
"508lUjbGcPrL0CfvHC7UvI","44iw4l4Syoi5HZgCQzNSKJ","Happier (Remixes Pt. 2)","2018-11-30"
"7FDaS1k08rwMoAThmzUkOZ","3Yb3f9PL7aBpjuJPyiV0ot","Side Effects - Remixes","2018-07-25"
"6m8SIT10j41SPpPFOknTmP","1r4KIEhxQJ7o3b5Fbv2sRe","Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix]","2019-07-12"
"5Vwgf4MVO0vLv8fbxaGGiW","0TLVzJLOGaY5j7UdKskpMx","Paradise (Bazzi vs. Black Caviar Remix)","2019-06-27"
"5scxjvcdozadBoRRN0UMaM","37vNU8L52IJZuO7e9hqBd9","White Mercedes (EDX's Miami Sunset Remix)","2019-10-25"
"6oJ6le65B3SEqPwMRNXWjY","4wquJImu8RtyEuDtIAsfcE","Higher Love","2019-06-28"
"2tilX6FUl0IwFgiOYjuc6V","6k63cIUizpLu0h5hhIg8LG","Unlove You","2019-10-18"
"3yNZ5r3LKfdmjoS3gkhUCT","6lMlX68jJrx67hiCqdiDvW","bad guy (with Justin Bieber)","2019-07-11"
"478QYNLw6dhTTx4oEkhBeq","6sOIjQyLBuivHFkEBttj5J","Freaking Me Out (Keanu Silva Remix)","2019-11-01"
"3C4fzUgIP3ahkhOBdP38GM","6fUjIqkNJY56xS62ild7D1","Heaven Can Wait (The Aston Shuffle Remix)","2019-05-24"
"2k4c9ZAlIYHyXiJ4i20FO7","13u5uffEUZZBoaI5kn5Zqd","When It Comes To You (Remixes)","2019-10-25"
"79zGYOcAe2VmJsyQiJX31a","2QVWSdvejmRHBaK1mroxPL","Gone (The Wild Remix)","2019-08-09"
"6B2NRQjtSOtqi67d72r5cx","2oUf4rrrptVC50h75WzjmI","American Boy (Brooks Remix)","2019-06-14"
"08rBIlTMXlF5uEHobZglxv","4lzn3ikjb2HPZM6U6Y1IRL","Million Pieces (M-22 Remix)","2019-09-27"
